,0
2018-09-21,0.005661
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,-0.005661
2018-09-27,0.005661
2018-09-28,-0.002142
2018-10-01,-0.001989
2018-10-02,-0.001377
2018-10-03,-0.0029070000000000003
2018-10-04,0.004284
2018-10-05,-0.0009180000000000001
2018-10-08,0.003366
2018-10-09,-0.001683
2018-10-10,-0.00153
2018-10-11,-0.010863000000000001
2018-10-12,6.9591208997744555e-06
2018-10-15,0.005967
2018-10-16,0.001071
2018-10-17,0.00045900000000000004
2018-10-18,-0.00153
2018-10-19,0.001377
2018-10-22,-0.0009180000000000001
2018-10-23,-0.000153
2018-10-24,0.000612
2018-10-25,-0.000612940156556066
2018-10-26,-0.00046424840909112806
2018-10-29,-0.0038920903351606865
2018-10-30,0.0001570819025486945
2018-10-31,0.0009473616718315639
2018-11-01,0.0012803612821377305
2018-11-02,0.00032139271981109245
2018-11-05,0.0013123961010227587
2018-11-06,0.0014949087717798938
2018-11-07,0.002523914065261831
2018-11-08,-0.003071651280801654
2018-11-09,-0.0017217508789114178
2018-11-12,-0.002682777931275493
2018-11-13,-0.0008775943483716484
2018-11-14,-0.028066959131162198
2018-11-15,0.0008925
2018-11-16,-0.0044624999999999995
2018-11-19,-0.0230265
2018-11-20,-0.0130305
2018-11-21,0.0055335
2018-11-22,-0.0098175
2018-11-23,-0.0087465
2018-11-26,-0.0116025
2018-11-27,0.0030345
2018-11-28,0.015886499999999998
2018-11-29,0.0019610457930943643
2018-11-30,-0.0035399999999999997
2018-12-03,-0.010797000000000001
2018-12-04,0.002124
2018-12-05,-0.005664
2018-12-06,-0.011505000000000001
2018-12-07,0.0035399999999999997
2018-12-10,-0.0035399999999999997
2018-12-11,-0.0008849999999999999
2018-12-12,0.00081212949239749
2018-12-13,-0.0070799999999999995
2018-12-14,-0.0026550000000000002
2018-12-17,0.014159999999999999
2018-12-18,0.0051329999999999995
2018-12-19,-0.0008849999999999999
2018-12-20,0.014868
2018-12-21,-0.004425
2018-12-24,0.013098
2018-12-25,0.0
2018-12-26,-0.010974
2018-12-27,-0.005841
2018-12-28,0.007965
2018-12-31,-0.005841
2019-01-01,0.0
2019-01-02,0.006372
2019-01-03,-0.001416
2019-01-04,0.009558
2019-01-07,-0.0008849999999999999
2019-01-08,-0.0008849999999999999
2019-01-09,0.0008849999999999999
2019-01-10,-0.014159999999999999
2019-01-11,-0.003717
2019-01-14,0.005487
2019-01-15,-0.004248
2019-01-16,0.0010079124223852478
2019-01-17,0.002301
2019-01-18,-0.004425
2019-01-21,0.000531
2019-01-22,0.0017699999999999999
2019-01-23,-0.0019470000000000002
2019-01-24,0.001416
2019-01-25,-0.000708
2019-01-28,-0.0038940000000000003
2019-01-29,-0.0008849999999999999
2019-01-30,0.0017699999999999999
2019-01-31,-0.0012389999999999999
2019-02-01,0.000354
2019-02-04,0.0
2019-02-05,0.000531
2019-02-06,-0.002124
2019-02-07,0.0
2019-02-08,0.010797000000000001
2019-02-11,-0.0017699999999999999
2019-02-12,-0.0008849999999999999
2019-02-13,0.000177
2019-02-14,-0.000708
2019-02-15,0.002446488658624808
2019-02-18,0.008673
2019-02-19,0.001224846458555375
2019-02-20,0.001248770606470516
2019-02-21,-0.0031860222733658054
2019-02-22,0.0016939990748613618
2019-02-25,-0.007207569128434132
2019-02-26,-0.002696
2019-02-27,-0.0043809999999999995
2019-02-28,0.008761999999999999
2019-03-01,-0.000337
2019-03-04,-0.009099000000000001
2019-03-05,0.009436
2019-03-06,0.001011
2019-03-07,0.000337
2019-03-08,0.002696
2019-03-11,-0.00337
2019-03-12,0.001011
2019-03-13,-0.001348
2019-03-14,0.000674
2019-03-15,0.007420100100430666
2019-03-18,0.000674
2019-03-19,0.0016657195795660858
2019-03-20,0.003156372785601977
2019-03-21,-0.0056547424235762435
2019-03-22,0.0012015
2019-03-25,-0.008811570723415669
2019-03-26,0.002406
2019-03-27,0.008421
2019-03-28,-0.000802
2019-03-29,0.007619
2019-04-01,0.0032041828156689355
2019-04-02,0.05376053876092174
2019-04-03,0.024565716643459867
2019-04-04,-0.02323915346103488
2019-04-05,0.037736
2019-04-08,-0.004257268995988512
